2026-01-18 09:11:32,901 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 09:11:32,905 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 09:11:37,987 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 09:11:38,020 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 09:11:38,021 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 09:11:43,115 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 09:11:43,150 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 09:11:43,151 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 09:24:21,677 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 09:24:21,732 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 09:24:21,749 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 09:24:26,820 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 09:24:26,857 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 09:24:26,858 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 09:24:31,931 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 09:24:31,968 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 09:24:31,970 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 15:41:56,434 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 15:41:56,489 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 15:41:56,490 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 15:42:01,566 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 15:42:01,599 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 15:42:01,600 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 15:42:06,685 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 15:42:06,718 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 15:42:06,719 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 16:43:19,681 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 16:43:19,766 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 16:43:19,768 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 16:43:24,839 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 16:43:24,872 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 16:43:24,874 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 16:43:29,955 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 16:43:29,989 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 16:43:29,990 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 17:00:43,549 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 17:00:43,656 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 17:00:43,657 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 17:00:48,844 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 17:00:48,853 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 17:00:48,853 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 17:00:53,925 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
2026-01-18 17:00:53,958 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_seats_provinces' created succesfully
2026-01-18 17:00:53,960 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 18:08:13,439 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_raw'...
2026-01-18 18:08:13,499 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_raw' created succesfully
2026-01-18 18:08:13,501 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 18:08:18,574 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_clean'...
2026-01-18 18:08:18,610 | INFO     | generation.utils.kafka | [KafkaUtils]: Topic 'votes_clean' created succesfully
2026-01-18 18:08:18,611 | INFO     | generation.utils.kafka | [KafkaUtils]: Waiting 5 seconds for metadata propagation...
2026-01-18 18:08:23,701 | INFO     | generation.utils.kafka | [KafkaUtils]: Creating topic 'votes_seats_provinces'...
